,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,resolution_description,resolution_action_updated_date,bridge_highway_name,bridge_highway_segment,closed_date,road_ramp,facility_type,bridge_highway_direction,taxi_company_borough,taxi_pick_up_location,vehicle_type,due_date
3019,54066546,2022-05-02T15:40:28.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10301.0,375 WESTERVELT AVENUE,WESTERVELT AVENUE,WINTER AVENUE,SCRIBNER AVENUE,WINTER AVENUE,SCRIBNER AVENUE,ADDRESS,STATEN ISLAND,WESTERVELT AVENUE,In Progress,01 STATEN ISLAND,5000250020.0,STATEN ISLAND,961567.0,172086.0,PHONE,Unspecified,STATEN ISLAND,40.63898387399924,-74.08173036125338,"{'latitude': '40.63898387399924', 'longitude': '-74.08173036125338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10369.0,4.0,1.0,13.0,74.0,,,,,,,,,,,,
4474,54063526,2022-05-02T12:03:33.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,1-2 Family Dwelling,11204.0,1758 74 STREET,74 STREET,17 AVENUE,18 AVENUE,17 AVENUE,18 AVENUE,ADDRESS,BROOKLYN,74 STREET,In Progress,11 BROOKLYN,3062150030.0,BROOKLYN,985246.0,163197.0,ONLINE,Unspecified,BROOKLYN,40.614614426113256,-73.9964125684232,"{'latitude': '40.614614426113256', 'longitude': '-73.9964125684232', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16867.0,1.0,2.0,44.0,37.0,,,,,,,,,,,,
6334,54068599,2022-05-02T08:35:19.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10075.0,445 EAST   77 STREET,EAST   77 STREET,1 AVENUE,YORK AVENUE,1 AVENUE,YORK AVENUE,ADDRESS,NEW YORK,EAST   77 STREET,In Progress,08 MANHATTAN,1014720022.0,MANHATTAN,997380.0,220027.0,PHONE,Unspecified,MANHATTAN,40.7705899001386,-73.95259709083128,"{'latitude': '40.770589900138596', 'longitude': '-73.95259709083128', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10092.0,23.0,4.0,1.0,11.0,,,,,,,,,,,,
18649,54050449,2022-04-30T18:47:23.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,10452.0,957 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,ADDRESS,BRONX,WOODYCREST AVENUE,In Progress,04 BRONX,2025110068.0,BRONX,1003936.0,242233.0,ONLINE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10930.0,50.0,5.0,35.0,27.0,,,,,,,,,,,,
22485,54050448,2022-04-30T07:06:46.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,10452.0,957 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,ADDRESS,BRONX,WOODYCREST AVENUE,In Progress,04 BRONX,2025110068.0,BRONX,1003936.0,242233.0,ONLINE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,"{'latitude': '40.8315271048226', 'longitude': '-73.92886303221528', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10930.0,50.0,5.0,35.0,27.0,,,,,,,,,,,,
25484,54041581,2022-04-29T20:11:50.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,Other (Explain Below),10040.0,36 SHERMAN AVENUE,SHERMAN AVENUE,SICKLES STREET,ARDEN STREET,SICKLES STREET,ARDEN STREET,ADDRESS,NEW YORK,SHERMAN AVENUE,In Progress,12 MANHATTAN,,MANHATTAN,1004150.0,253637.0,ONLINE,Unspecified,MANHATTAN,40.86282723546412,-73.92805588067428,"{'latitude': '40.86282723546412', 'longitude': '-73.92805588067428', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13098.0,47.0,4.0,39.0,22.0,,,,,,,,,,,,
30100,54037005,2022-04-29T09:36:35.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10014.0,63 PERRY STREET,PERRY STREET,WEST    4 STREET,BLEECKER STREET,WEST    4 STREET,BLEECKER STREET,ADDRESS,NEW YORK,PERRY STREET,In Progress,02 MANHATTAN,1006220059.0,MANHATTAN,983167.0,207225.0,PHONE,Unspecified,MANHATTAN,40.7354613409432,-74.00390786617439,"{'latitude': '40.7354613409432', 'longitude': '-74.00390786617439', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12077.0,57.0,4.0,10.0,3.0,,,,,,,,,,,,
35494,54032622,2022-04-28T14:27:43.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,11225.0,250 HAWTHORNE STREET,HAWTHORNE STREET,ROGERS AVENUE,NOSTRAND AVENUE,ROGERS AVENUE,NOSTRAND AVENUE,ADDRESS,BROOKLYN,HAWTHORNE STREET,In Progress,09 BROOKLYN,3050470020.0,BROOKLYN,997573.0,178908.0,ONLINE,Unspecified,BROOKLYN,40.65772780833192,-73.95198168447644,"{'latitude': '40.65772780833192', 'longitude': '-73.95198168447644', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13509.0,17.0,2.0,11.0,44.0,,,,,,,,,,,,
38507,54031538,2022-04-28T08:36:07.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,11432.0,88-15 168 STREET,168 STREET,88 AVENUE,89 AVENUE,88 AVENUE,89 AVENUE,ADDRESS,JAMAICA,168 STREET,In Progress,12 QUEENS,4098190003.0,QUEENS,1041298.0,197707.0,PHONE,Unspecified,QUEENS,40.70915288846408,-73.79423068611376,"{'latitude': '40.70915288846408', 'longitude': '-73.79423068611376', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24340.0,41.0,3.0,6.0,61.0,,,,,,,,,,,,
42511,54025012,2022-04-27T16:50:55.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,11211.0,212 GRAND STREET,GRAND STREET,BEDFORD AVENUE,DRIGGS AVENUE,BEDFORD AVENUE,DRIGGS AVENUE,ADDRESS,BROOKLYN,GRAND STREET,In Progress,01 BROOKLYN,3023930025.0,BROOKLYN,995294.0,199418.0,ONLINE,Unspecified,BROOKLYN,40.71402619366753,-73.96016196109649,"{'latitude': '40.71402619366753', 'longitude': '-73.96016196109649', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17613.0,36.0,2.0,30.0,56.0,,,,,,,,,,,,
