,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,resolution_description,resolution_action_updated_date,bridge_highway_name,bridge_highway_segment,closed_date,road_ramp,facility_type,bridge_highway_direction,taxi_company_borough,taxi_pick_up_location,vehicle_type,due_date
373,54066717,2022-05-02T23:40:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11103,28-21 46 STREET,46 STREET,28 AVE,30 AVE,,,ADDRESS,ASTORIA,,Open,01 QUEENS,4007200017,QUEENS,1009429,217259,ONLINE,Unspecified,QUEENS,40.762966353309444,-73.90910728175461,"{'latitude': '40.762966353309444', 'longitude': '-73.90910728175461', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",16860,39,3,4,72,,,,,,,N/A,,,,,
518,54063716,2022-05-02T23:10:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10036,550 WEST   45 STREET,WEST   45 STREET,AMTRAK-NORTHEAST LINE,11 AVE,,,ADDRESS,NEW YORK,,Open,04 MANHATTAN,1010737501,MANHATTAN,985412,216993,PHONE,Unspecified,MANHATTAN,40.76227203033298,-73.99580538469833,"{'latitude': '40.76227203033298', 'longitude': '-73.99580538469833', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13094,12,4,10,10,,,,,,,N/A,,,,,
717,54061689,2022-05-02T22:37:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11205,103 FRANKLIN AVENUE,FRANKLIN AVENUE,PARK AVE,MYRTLE AVE,,,ADDRESS,BROOKLYN,,Open,03 BROOKLYN,3018990019,BROOKLYN,995824,192763,PHONE,Unspecified,BROOKLYN,40.69575910997051,-73.95826157791834,"{'latitude': '40.69575910997051', 'longitude': '-73.95826157791834', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17212,69,2,38,51,,,,,,,N/A,,,,,
1375,54066718,2022-05-02T20:35:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10011,20 5 AVENUE,5 AVENUE,5 AVE,BEND,,,ADDRESS,NEW YORK,,Open,02 MANHATTAN,1005720038,MANHATTAN,985269,206289,ONLINE,Unspecified,MANHATTAN,40.73289225898755,-73.99632321135569,"{'latitude': '40.73289225898755', 'longitude': '-73.99632321135569', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12074,57,4,10,3,,,,,,,N/A,,,,,
2140,54068761,2022-05-02T18:08:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,272 1 AVENUE,1 AVENUE,E 16 ST,E 17 ST,,,ADDRESS,NEW YORK,,Open,06 MANHATTAN,1009720001,MANHATTAN,989398,206221,ONLINE,Unspecified,MANHATTAN,40.7327041762478,-73.98142487276658,"{'latitude': '40.7327041762478', 'longitude': '-73.98142487276658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729,71,4,51,7,,,,,,,N/A,,,,,
2811,54061690,2022-05-02T16:18:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11215,245 GARFIELD PLACE,GARFIELD PLACE,POLHEMUS PL,FISKE PL,,,ADDRESS,BROOKLYN,,Open,06 BROOKLYN,3010700032,BROOKLYN,990985,183989,ONLINE,Unspecified,BROOKLYN,40.67168148760704,-73.97572085844843,"{'latitude': '40.67168148760704', 'longitude': '-73.97572085844843', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",17617,14,2,27,50,,,,,,,N/A,,,,,
3252,54064730,2022-05-02T15:05:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10036,252 WEST   47 STREET,WEST   47 STREET,BROADWAY,8 AVE,,,ADDRESS,NEW YORK,,Open,05 MANHATTAN,1010180055,MANHATTAN,988042,216131,ONLINE,Unspecified,MANHATTAN,40.75990532482053,-73.98631203433109,"{'latitude': '40.75990532482053', 'longitude': '-73.98631203433109', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13094,11,4,10,10,,,,,,,N/A,,,,,
4093,54066719,2022-05-02T12:50:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11385,2029 LINDEN STREET,LINDEN STREET,FAIRVIEW AVE,GRANDVIEW AVE,,,ADDRESS,RIDGEWOOD,,Open,05 QUEENS,4033850061,QUEENS,1010429,196950,ONLINE,Unspecified,QUEENS,40.70722028537387,-73.90557644819049,"{'latitude': '40.70722028537387', 'longitude': '-73.90557644819049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",15310,54,3,34,62,,,,,,,N/A,,,,,
4375,54061691,2022-05-02T12:18:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11432,152-11 89 AVENUE,89 AVENUE,150 ST,153 ST,,,ADDRESS,JAMAICA,,Open,12 QUEENS,4096950014,QUEENS,1038607,196239,PHONE,Unspecified,QUEENS,40.70514052646012,-73.80394880749206,"{'latitude': '40.70514052646012', 'longitude': '-73.80394880749206', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24340,41,3,24,61,,,,,,,N/A,,,,,
4685,54064731,2022-05-02T11:51:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10024,225 WEST   83 STREET,WEST   83 STREET,AMSTERDAM AVE,BROADWAY,,,ADDRESS,NEW YORK,,Open,07 MANHATTAN,1012317501,MANHATTAN,990457,225722,ONLINE,Unspecified,MANHATTAN,40.78622874386477,-73.97758576113193,"{'latitude': '40.78622874386477', 'longitude': '-73.97758576113193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12421,20,4,19,12,,,,,,,N/A,,,,,
