,Unnamed: 0,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,resolution_description,resolution_action_updated_date,bridge_highway_name,bridge_highway_segment,closed_date,road_ramp,facility_type,bridge_highway_direction,taxi_company_borough,taxi_pick_up_location,vehicle_type,due_date
4,2140,54068761,2022-05-02T18:08:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10009,272 1 AVENUE,1 AVENUE,E 16 ST,E 17 ST,,,ADDRESS,NEW YORK,,Open,06 MANHATTAN,1009720001.0,MANHATTAN,989398,206221,ONLINE,Unspecified,MANHATTAN,40.7327041762478,-73.98142487276658,"{'latitude': '40.7327041762478', 'longitude': '-73.98142487276658', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11729.0,71,4,51,7,,,,,,,,,,,,
34,8415,54056750,2022-05-01T22:55:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10013,162 MOTT STREET,MOTT STREET,GRAND ST,BROOME ST,,,ADDRESS,NEW YORK,,Open,02 MANHATTAN,1004700006.0,MANHATTAN,985298,201475,ONLINE,Unspecified,MANHATTAN,40.71967899647982,-73.99621932230787,"{'latitude': '40.71967899647982', 'longitude': '-73.99621932230787', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,57,4,32,2,,,,,,,,,,,,
42,12698,54059719,2022-05-01T12:52:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10032,720 WEST  173 STREET,WEST  173 STREET,FT WASHINGTON AVE,HAVEN AVE,,,ADDRESS,NEW YORK,,Open,12 MANHATTAN,1021390316.0,MANHATTAN,1000536,247365,ONLINE,Unspecified,MANHATTAN,40.84561987489184,-73.9411367439112,"{'latitude': '40.84561987489184', 'longitude': '-73.9411367439112', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13091.0,47,4,39,21,,,,,,,,,,,,
47,13089,54054719,2022-05-01T11:31:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10002,87 COLUMBIA STREET,COLUMBIA STREET,RIVINGTON ST,STANTON ST,,,ADDRESS,NEW YORK,,Open,03 MANHATTAN,1003330001.0,MANHATTAN,989919,201047,ONLINE,Unspecified,MANHATTAN,40.71850248516654,-73.97954934762572,"{'latitude': '40.71850248516654', 'longitude': '-73.97954934762572', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70,4,50,4,,,,,,,,,,,,
56,21184,54048471,2022-04-30T11:36:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10026,279 WEST  117 STREET,WEST  117 STREET,ST NICHOLAS AVE,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,Open,10 MANHATTAN,1019230001.0,MANHATTAN,996928,232500,ONLINE,Unspecified,MANHATTAN,40.80482559994171,-73.95420539322119,"{'latitude': '40.80482559994171', 'longitude': '-73.95420539322119', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12423.0,18,4,36,18,,,,,,,,,,,,
78,33838,54028458,2022-04-28T18:51:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10013,111 WORTH STREET,WORTH STREET,BROADWAY,LAFAYETTE ST,,,ADDRESS,NEW YORK,,Closed,01 MANHATTAN,1001700020.0,MANHATTAN,983269,200072,ONLINE,Unspecified,MANHATTAN,40.7158281059634,-74.0035387695921,"{'latitude': '40.7158281059634', 'longitude': '-74.0035387695921', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,56,4,32,2,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-29T09:47:00.000,,,2022-04-29T09:47:00.000,,,,,,,
119,43198,54020986,2022-04-27T15:05:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10013,4 WHITE STREET,WHITE STREET,W BROADWAY,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,Closed,01 MANHATTAN,1001910011.0,MANHATTAN,982609,201357,ONLINE,Unspecified,MANHATTAN,40.71935502476005,-74.00591990642937,"{'latitude': '40.71935502476005', 'longitude': '-74.00591990642937', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,56,4,32,1,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-28T12:36:00.000,,,2022-04-28T12:36:00.000,,,,,,,
123,44136,54020987,2022-04-27T12:52:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,201 WEST  121 STREET,WEST  121 STREET,ADAM CLAYTON POWELL JR BLVD,ST NICHOLAS AVE,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1019270029.0,MANHATTAN,997900,233159,PHONE,Unspecified,MANHATTAN,40.80663292486721,-73.9506930619585,"{'latitude': '40.80663292486721', 'longitude': '-73.9506930619585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,18,4,36,18,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-27T14:00:00.000,,,2022-04-27T14:00:00.000,,,,,,,
124,44155,54020988,2022-04-27T12:48:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,201 WEST  121 STREET,WEST  121 STREET,ADAM CLAYTON POWELL JR BLVD,ST NICHOLAS AVE,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1019270029.0,MANHATTAN,997900,233159,PHONE,Unspecified,MANHATTAN,40.80663292486721,-73.9506930619585,"{'latitude': '40.80663292486721', 'longitude': '-73.9506930619585', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,18,4,36,18,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-27T13:59:00.000,,,2022-04-27T13:59:00.000,,,,,,,
149,55870,54001163,2022-04-25T22:37:00.000,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10027,368 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,W 128 ST,W 129 ST,,,ADDRESS,NEW YORK,,Closed,10 MANHATTAN,1019557501.0,MANHATTAN,997916,235429,ONLINE,Unspecified,MANHATTAN,40.81286341958018,-73.9506306449487,"{'latitude': '40.81286341958018', 'longitude': '-73.9506306449487', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,18,4,36,20,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,2022-04-27T09:21:00.000,,,2022-04-27T09:21:00.000,,,,,,,
