,kit_id_number,borough,zipcode,date_collected,received_date,first_draw_at_the_tap_lead,first_draw_at_the_tap_copper
16,21180209,Staten Island,10309,2021-09-09T06:40:00.000,2021-09-14T12:47:12.000,23.0,0.09
20,21180276,Queens,11415,2021-09-06T06:00:00.000,2021-09-14T12:46:18.000,16.0,0.182
38,21180267,Queens,11358,2021-08-15T10:00:00.000,2021-08-19T11:25:26.000,21.0,0.185
41,21180043,Brooklyn,11206,2021-08-12T07:05:00.000,2021-08-17T12:13:24.000,21.0,0.23
43,21180237,Queens,11104,2021-08-11T15:20:00.000,2021-08-16T12:34:39.000,19.0,0.146
46,21180024,Queens,11428,2021-08-10T07:00:00.000,2021-08-11T11:24:14.000,89.0,0.07
57,21180308,Queens,11434,2021-07-29T09:48:00.000,2021-07-30T11:36:32.000,16.0,0.052
67,21180181,Queens,11001,2021-07-23T06:40:00.000,2021-07-27T12:14:46.000,42.0,0.114
74,21180015,Queens,11385,2021-07-21T10:00:00.000,2021-07-27T11:58:36.000,152.0,0.201
80,21180057,Queens,11375,2021-07-18T08:03:00.000,2021-07-20T11:42:33.000,87.0,0.157
90,21180168,Manhattan,10128,2021-07-13T06:49:00.000,2021-07-20T11:41:53.000,20.0,0.278
104,21180339,Brooklyn,11228,2021-07-08T18:03:00.000,2021-07-15T12:41:59.000,64.0,0.031
106,21180175,Queens,11377,2021-07-08T11:15:00.000,2021-07-15T12:40:04.000,21.0,0.14
138,21180337,Brooklyn,11217,2021-07-01T18:15:00.000,2021-07-06T12:37:17.000,19.0,0.066
196,21180097,Queens,11358,2021-06-23T08:03:00.000,2021-06-28T13:46:13.000,19.0,0.131
200,21179931,Staten Island,10305,2021-06-23T07:00:00.000,2021-06-28T14:38:41.000,55.0,0.177
244,21179981,Staten Island,10312,2021-06-20T08:18:00.000,2021-06-29T12:44:08.000,34.0,0.121
249,21180256,Queens,11374,2021-06-20T07:30:00.000,2021-06-29T12:50:00.000,16.0,0.051
263,21180132,Queens,11373,2021-06-19T07:07:00.000,2021-06-22T13:38:27.000,75.0,0.241
300,21180220,Queens,11357,2021-06-17T08:50:00.000,2021-06-22T13:03:54.000,18.0,0.253
307,21180177,Queens,11354,2021-06-17T07:30:00.000,2021-06-22T13:21:21.000,25.0,0.08
318,21179936,Staten Island,10308,2021-06-17T06:00:00.000,2021-06-22T13:18:45.000,69.0,0.083
332,21180010,Brooklyn,11228,2021-06-16T08:35:00.000,2021-06-22T13:39:14.000,23.0,0.157
