,Unnamed: 0,the_geom,objectid_1,tbbl,address,material,record_typ,city_owned,shape_leng,shape_area
3414,24699,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93418702841859, 40.79629262834951], [-73.9343736995494, 40.79603916659911], [-73.93442567951726, 40.79606110624731], [-73.93423900970784, 40.7963145680817], [-73.93418702841859, 40.79629262834951]]]]}",30580,1017100043,414 EAST 117 STREET,Potential Lead,HISTORICAL DATA,No,244.576802254,1742.21105505
3675,26380,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9497117772151, 40.786647550591496], [-73.94989595325416, 40.78639767058257], [-73.94997779965675, 40.7864321575121], [-73.94992749703428, 40.78650040266539], [-73.94987924365603, 40.78656587154155], [-73.94983864917131, 40.78662094654374], [-73.94979362146061, 40.78668203674896], [-73.9497117772151, 40.786647550591496]]]]}",29272,1016250024,143 EAST 97 STREET,Potential Lead,HISTORICAL DATA,No,260.53419646,2704.20407471
3676,26382,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94955322325524, 40.78658074065138], [-73.94973740088862, 40.786330861794276], [-73.94981709630049, 40.78636444289656], [-73.94963292005733, 40.78661432278077], [-73.94955322325524, 40.78658074065138]]]]}",29274,1016250026,147 EAST 97 STREET,Potential Lead,HISTORICAL DATA,No,259.173312717,2633.21402226
3677,26383,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94947302198844, 40.786546946627745], [-73.94965719745997, 40.78629706789647], [-73.94973740088862, 40.786330861794276], [-73.94955322325524, 40.78658074065138], [-73.94947302198844, 40.786546946627745]]]]}",29275,1016250027,149 EAST 97 STREET,Potential Lead,HISTORICAL DATA,No,259.493123635,2649.91788249
3678,26388,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94948928105161, 40.78688026256349], [-73.94967288455803, 40.786631162502495], [-73.9497117772151, 40.786647550591496], [-73.94979362146061, 40.78668203674896], [-73.94975083278436, 40.786740088720855], [-73.94970620458447, 40.78680063876437], [-73.94966008078738, 40.78686321606549], [-73.94961001826493, 40.78693113790087], [-73.94948928105161, 40.78688026256349]]]]}",29280,1016250048,142 EAST 98 STREET,Potential Lead,HISTORICAL DATA,No,284.511865766,3976.77383669
3679,26399,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9515286215896, 40.78717691961614], [-73.95157540560069, 40.787113442247716], [-73.9516795916048, 40.78715733858012], [-73.95163280647662, 40.78722081689041], [-73.9515286215896, 40.78717691961614]]]]}",29291,1016250101,101B EAST 97 STREET,Potential Lead,HISTORICAL DATA,No,118.991638077,874.436805896
3680,26408,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9440953086821, 40.794598009382284], [-73.94428101982597, 40.79434359635686], [-73.94435975785838, 40.79437684033581], [-73.94417398998483, 40.794631328200744], [-73.9440953086821, 40.794598009382284]]]]}",29623,1016370050,154 EAST 110 STREET,Potential Lead,HISTORICAL DATA,No,261.909751295,2643.99795518
3725,26768,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94072712162213, 40.798724512288146], [-73.94068681811177, 40.798707501831416], [-73.9408687760395, 40.79845713306665], [-73.94092416672136, 40.79848051322318], [-73.94074220893889, 40.798730881173974], [-73.94072712162213, 40.798724512288146]]]]}",26367,1016440027,163 EAST 116 STREET,Potential Lead,HISTORICAL DATA,No,243.496266848,1828.05273388
3726,26772,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94034457966075, 40.79856305078215], [-73.9405265408516, 40.798312681652575], [-73.94058362989458, 40.798336776945916], [-73.94040166885178, 40.79858714706508], [-73.94034457966075, 40.79856305078215]]]]}",26371,1016440031,175 EAST 116 STREET,Potential Lead,HISTORICAL DATA,No,244.573600948,1884.11017845
3859,27476,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94022222638452, 40.79933026972234], [-73.94040161319522, 40.79908343574555], [-73.94046170327124, 40.799108798749884], [-73.94028230593561, 40.79935564902259], [-73.94024969453127, 40.79934187339183], [-73.94022222638452, 40.79933026972234]]]]}",27125,1016450126,169 EAST 117 STREET,Potential Lead,HISTORICAL DATA,No,243.53634768,1955.20184948
3860,27477,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93998561621234, 40.79923032280745], [-73.94016496684253, 40.79898354950942], [-73.94022412096025, 40.79900851863388], [-73.94004476454262, 40.79925530822895], [-73.93998561621234, 40.79923032280745]]]]}",27126,1016450129,177 EAST 117 STREET,Potential Lead,HISTORICAL DATA,No,242.89614656,1924.37090604
3861,27478,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93983240095034, 40.799008325639164], [-73.93992437792159, 40.79888199840864], [-73.93998401040652, 40.798907169618104], [-73.93985817105792, 40.79908000354032], [-73.93983240095034, 40.799008325639164]]]]}",27127,1016450132,185 EAST 117 STREET,Potential Lead,HISTORICAL DATA,No,170.524632692,1176.29350204
3862,27487,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94764984644745, 40.7849555638794], [-73.94782756216556, 40.784712652255045], [-73.9479135481328, 40.78474899936893], [-73.94773583144644, 40.78499191112402], [-73.94764984644745, 40.7849555638794]]]]}",27136,1016460016,225 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,257.02180519,2759.09154897
3863,27489,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9475356791874, 40.78490730361743], [-73.94747085720542, 40.784879900646445], [-73.94764857455945, 40.784636989295805], [-73.94773964465304, 40.784675487445995], [-73.94756192871333, 40.78491839893618], [-73.9475356791874, 40.78490730361743]]]]}",27138,1016460018,229 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,260.245142046,2922.30109329
3864,27490,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94745595122457, 40.784873599346156], [-73.9473821248521, 40.78484239210316], [-73.94755984124487, 40.784599480887394], [-73.94764857455945, 40.784636989295805], [-73.94747085720542, 40.784879900646445], [-73.94745595122457, 40.784873599346156]]]]}",27139,1016460019,231 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,258.762978141,2847.24964927
3865,27491,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94737622689358, 40.784839898623126], [-73.94730113928777, 40.78480815675478], [-73.9473447866853, 40.78474849687096], [-73.94738991769316, 40.78468681061848], [-73.94743340244949, 40.784627373049624], [-73.94747885351588, 40.78456524476102], [-73.94755984124487, 40.784599480887394], [-73.9473821248521, 40.78484239210316], [-73.94737622689358, 40.784839898623126]]]]}",27140,1016460020,233 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,253.854297932,2598.6989568
3866,27505,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9399928473675, 40.7942346578211], [-73.94007088669787, 40.79426758829228], [-73.93992217669255, 40.794472491731476], [-73.93984412533219, 40.7944395773635], [-73.9399928473675, 40.7942346578211]]]]}",27154,1016610027,258 EAST 112 STREET,Potential Lead,HISTORICAL DATA,No,219.950122305,2107.23050559
3867,27506,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93992217669255, 40.794472491731476], [-73.94007088669787, 40.79426758829228], [-73.94012996079556, 40.79429251422025], [-73.93998125803557, 40.794497406932614], [-73.93992217669255, 40.794472491731476]]]]}",27155,1016610028,256 EAST 112 STREET,Potential Lead,HISTORICAL DATA,No,207.925314222,1594.98914637
3868,27517,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94129085904508, 40.7950496611519], [-73.94147118801764, 40.794801184220006], [-73.94150048688992, 40.79481354675132], [-73.94157003148385, 40.79484289060318], [-73.94164463025137, 40.79487436755505], [-73.94165952135099, 40.79488064887737], [-73.9416150265953, 40.79494195670722], [-73.94157117593899, 40.795002378753715], [-73.94152738570519, 40.795062718868216], [-73.94147921659588, 40.79512909009283], [-73.94129085904508, 40.7950496611519]]]]}",27166,1016610044,204 EAST 112 STREET,Potential Lead,HISTORICAL DATA,No,326.044953887,6165.88298219
3910,27730,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95135054712463, 40.78588863528946], [-73.95152884694735, 40.78564520045554], [-73.95156709163284, 40.78566131299556], [-73.95158498519204, 40.78566885140656], [-73.95140668551036, 40.785912287226864], [-73.95135054712463, 40.78588863528946]]]]}",27429,1015240059,134 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,238.567968248,1804.27695932
3911,27732,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95145939634, 40.78593449418975], [-73.95163769470354, 40.785691058288236], [-73.95167423985913, 40.78570645508126], [-73.95173059257912, 40.785730197001634], [-73.9517411465786, 40.78573464359456], [-73.9515628472917, 40.78597807965399], [-73.95145939634, 40.78593449418975]]]]}",27431,1015240061,130 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,268.5287968,3324.92509633
3912,27733,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9515628472917, 40.78597807965399], [-73.9517411465786, 40.78573464359456], [-73.95177997052758, 40.78575100124252], [-73.95183464031882, 40.7857740337132], [-73.95183737150009, 40.785775183894266], [-73.95165907364132, 40.78601862010152], [-73.9515628472917, 40.78597807965399]]]]}",27432,1015240062,128 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,263.952859512,3092.66898453
3913,27741,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95181752415492, 40.78608537577814], [-73.95199582161246, 40.785841940228664], [-73.95204497587922, 40.78586264880925], [-73.95209385895184, 40.78588324379298], [-73.95215018946872, 40.785906974692196], [-73.95220263760788, 40.785929071344775], [-73.95231290045001, 40.78597552525611], [-73.95213460379347, 40.786218962191626], [-73.95181752415492, 40.78608537577814]]]]}",27440,1015247502,108 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,403.80452127,10190.8083521
3984,28128,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94876558812221, 40.78479954194207], [-73.94894380643629, 40.78455505383883], [-73.94903547768332, 40.7845937295308], [-73.9488571955602, 40.78483830509458], [-73.94876558812221, 40.78479954194207]]]]}",27852,1015410043,204 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,261.774589322,2957.2668993
4152,29140,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95314272764047, 40.78727189394903], [-73.95332659902611, 40.78702155541056], [-73.95348213398246, 40.787087122546275], [-73.95329826181592, 40.7873374613299], [-73.95314272764047, 40.78727189394903]]]]}",28867,1016020027,59 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,307.417289883,5144.65186998
4153,29141,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95266794386619, 40.78707174276594], [-73.95249882578484, 40.78700044714912], [-73.95268270002657, 40.786750109627896], [-73.95300899446546, 40.786887665010894], [-73.95282512107049, 40.787138003047374], [-73.95266794386619, 40.78707174276594]]]]}",28868,1016020033,71 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,415.56467506,10793.021859
4155,29151,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95461168782501, 40.78822306960874], [-73.95479784505864, 40.78796960852489], [-73.95487465137836, 40.78800198551904], [-73.95491469265144, 40.78801886397115], [-73.95472853453943, 40.78827232614181], [-73.95461168782501, 40.78822306960874]]]]}",28878,1016020066,6 EAST 97 STREET,Potential Lead,HISTORICAL DATA,No,285.517623237,3913.05811283
4156,29156,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95410557150532, 40.78849626306282], [-73.95428729005808, 40.78824741431202], [-73.95444487554431, 40.788313843627684], [-73.95426315739988, 40.788562691723875], [-73.95410557150532, 40.78849626306282]]]]}",28883,1016030009,9 EAST 97 STREET,Potential Lead,HISTORICAL DATA,No,307.184129182,5174.22287831
4157,29158,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9535540529623, 40.78826377231512], [-73.95373657124995, 40.78801526153273], [-73.95405128906854, 40.78814793037256], [-73.95386957108997, 40.78839677875558], [-73.9535540529623, 40.78826377231512]]]]}",28885,1016030014,17 EAST 97 STREET,Potential Lead,HISTORICAL DATA,No,406.951452107,10346.7527762
4158,29161,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95265960828574, 40.787889283546704], [-73.95283869588542, 40.787636756526965], [-73.9529831230953, 40.78769764168074], [-73.95280403351069, 40.78795016802098], [-73.95265960828574, 40.787889283546704]]]]}",28888,1016030027,57 EAST 97 STREET,Potential Lead,HISTORICAL DATA,No,300.504883611,4779.68278192
4159,29165,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95216551083332, 40.78768098905372], [-73.9523494807147, 40.7874305197553], [-73.95246640016798, 40.7874798092363], [-73.95228731868453, 40.787732339288475], [-73.95216551083332, 40.78768098905372]]]]}",28892,1016030034,69 EAST 97 STREET,Potential Lead,HISTORICAL DATA,No,284.625992324,3950.28130091
4167,29244,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94612572848052, 40.79594296895488], [-73.94608041717728, 40.79592379683597], [-73.94626322372544, 40.79567528929412], [-73.9463258502899, 40.795701595062425], [-73.94614293713994, 40.79595025123513], [-73.94612572848052, 40.79594296895488]]]]}",28996,1016160035,85 EAST 110 STREET,Potential Lead,HISTORICAL DATA,No,247.142749576,2055.7305672
