,Unnamed: 0,the_geom,objectid_1,tbbl,address,material,record_typ,city_owned,shape_leng,shape_area
15,368,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98984061888474, 40.71684181406051], [-73.98994417356457, 40.716641735206785], [-73.99002199307702, 40.71666523628697], [-73.98991838176804, 40.71686543047044], [-73.98984061888474, 40.71684181406051]]]]}",3027,1003100013,341 GRAND STREET,Potential Lead,HISTORICAL DATA,No,203.152006031,1818.86035721
16,372,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98939866336251, 40.71670759550293], [-73.9894682530729, 40.71657084231678], [-73.98954314434671, 40.7165942218841], [-73.98947260928377, 40.716730052005786], [-73.98939866336251, 40.71670759550293]]]]}",3031,1003100019,353 GRAND STREET,Potential Lead,EXCAVATION,No,151.148847685,1186.54146216
25,434,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99239341652799, 40.71807372504789], [-73.99250986430503, 40.71784642415507], [-73.99259789373681, 40.71787328125518], [-73.99248157287622, 40.718100365221595], [-73.99239341652799, 40.71807372504789]]]]}",4750,1004180054,280 GRAND STREET,Potential Lead,EXCAVATION,No,230.262121175,2335.71948402
26,435,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99248157287622, 40.718100365221595], [-73.99259789373681, 40.71787328125518], [-73.99267956313801, 40.71789819638414], [-73.9925633324842, 40.718125074221305], [-73.99248157287622, 40.718100365221595]]]]}",4751,1004180055,278 GRAND STREET,Potential Lead,EXCAVATION,No,226.289220116,2164.58461811
27,436,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9925633324842, 40.718125074221305], [-73.99267956313801, 40.71789819638414], [-73.99276451443419, 40.717924113028474], [-73.99264839293299, 40.718150780238204], [-73.9925633324842, 40.718125074221305]]]]}",4752,1004180056,276 GRAND STREET,Potential Lead,EXCAVATION,No,228.092337762,2249.72039928
28,437,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99264839293299, 40.718150780238204], [-73.99276451443419, 40.717924113028474], [-73.99284938768538, 40.717950007092426], [-73.99273334693271, 40.71817645286666], [-73.99264839293299, 40.718150780238204]]]]}",4753,1004180057,274 GRAND STREET,Potential Lead,EXCAVATION,No,227.871472146,2245.17858253
29,438,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99273334693271, 40.71817645286666], [-73.99284938768538, 40.717950007092426], [-73.9929414377318, 40.71797809877826], [-73.992825547577, 40.71820431592421], [-73.99273334693271, 40.71817645286666]]]]}",4754,1004180058,272 GRAND STREET,Potential Lead,HISTORICAL DATA,No,232.001420983,2433.48995907
30,439,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9923441547861, 40.7184287226102], [-73.9922395438677, 40.718396806037475], [-73.99212487684835, 40.71836182244581], [-73.99205398403112, 40.71834019272945], [-73.99197362208808, 40.71831567437422], [-73.99200637481226, 40.71825173504475], [-73.99235027842668, 40.71835667862177], [-73.99241604442729, 40.71837674183132], [-73.99238346482836, 40.71844071550701], [-73.9923441547861, 40.7184287226102]]]]}",4755,1004187501,113 ELDRIDGE STREET,Potential Lead,HISTORICAL DATA,No,294.756168275,3059.09001203
91,785,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99066361043188, 40.71442039997117], [-73.99064514379928, 40.71429194336443], [-73.99073448974956, 40.71428455379749], [-73.99075802047953, 40.71444824776838], [-73.99066361043188, 40.71442039997117]]]]}",426,1002830076,32 CANAL STREET,Potential Lead,HISTORICAL DATA,No,160.058839801,1333.83802401
110,882,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98940013389881, 40.72275393243931], [-73.98929991804742, 40.72272359311265], [-73.98921611592148, 40.72269822154636], [-73.98919935668762, 40.722693147405984], [-73.9892286143034, 40.72263629198306], [-73.98953688024119, 40.72272961948725], [-73.98950763468322, 40.72278647859082], [-73.98940013389881, 40.72275393243931]]]]}",523,1004170010,246 ELDRIDGE STREET,Potential Lead,HISTORICAL DATA,No,228.421639795,2045.76116305
290,2175,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00146857347133, 40.71891782578992], [-74.00152538127683, 40.71885062540387], [-74.00173167903507, 40.718941946792114], [-74.00171850057315, 40.71895752220784], [-74.00161652568617, 40.71891160578709], [-74.00155755681902, 40.71898169238095], [-74.00146857347133, 40.71891782578992]]]]}",1663,1001960011,274 CANAL STREET,Potential Lead,HISTORICAL DATA,No,199.094579779,1315.02577201
300,2251,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99824461648493, 40.716843761793655], [-73.99836633997131, 40.71664783599789], [-73.99840487543396, 40.71658580940066], [-73.9984052683748, 40.71658517904898], [-73.99857803249486, 40.71664601797575], [-73.99841739769847, 40.71690457664582], [-73.99824461648493, 40.716843761793655]]]]}",1739,1002007501,198 CANAL STREET,Potential Lead,HISTORICAL DATA,No,313.947050172,5498.81208853
305,2266,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99728998234909, 40.7161941963106], [-73.99761077897067, 40.716307164311665], [-73.99753344521109, 40.71643260284532], [-73.99748301303418, 40.7164148202803], [-73.9973774822518, 40.71637770519973], [-73.99729554740306, 40.71650969828074], [-73.9971302644679, 40.71645151952303], [-73.99728998234909, 40.7161941963106]]]]}",1754,1002010018,164 CANAL STREET,Potential Lead,HISTORICAL DATA,No,403.455101875,7635.23452144
311,2311,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99718223929453, 40.71698691909658], [-73.99715112506655, 40.71697593390879], [-73.99726820167928, 40.716787334812224], [-73.99733573681534, 40.71681118730567], [-73.99721866271894, 40.716999780166816], [-73.99718223929453, 40.71698691909658]]]]}",1799,1002040031,175 CANAL STREET,Potential Lead,HISTORICAL DATA,No,193.260535104,1568.3958355
312,2312,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99721866271894, 40.716999780166816], [-73.99733573681534, 40.71681118730567], [-73.99740608754465, 40.71683603398595], [-73.99728901833801, 40.71702462151508], [-73.99721866271894, 40.716999780166816]]]]}",1800,1002040032,177 CANAL STREET,Potential Lead,HISTORICAL DATA,No,194.977487136,1633.76048081
313,2313,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99728901833801, 40.71702462151508], [-73.99740608754465, 40.71683603398595], [-73.99747153035098, 40.71685914613308], [-73.99735446365611, 40.717047730126154], [-73.99728901833801, 40.71702462151508]]]]}",1801,1002040033,179 CANAL STREET,Potential Lead,HISTORICAL DATA,No,191.97308711,1519.72047699
