,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,status,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,resolution_description,resolution_action_updated_date,bridge_highway_name,bridge_highway_segment,closed_date,road_ramp,facility_type,bridge_highway_direction,taxi_company_borough,taxi_pick_up_location,vehicle_type,due_date
42829,54027141,2022-04-27T15:55:35.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10026.0,1925 ADAM CLAYTON POWELL JR BOULEVARD,ADAM CLAYTON POWELL JR BOULEVARD,DR REV WYATT TEE WALKER SQUARE,WEST  117 STREET,DR REV WYATT TEE WALKER SQUARE,WEST  117 STREET,ADDRESS,NEW YORK,7 AVENUE,In Progress,10 MANHATTAN,1019010001.0,MANHATTAN,997439.0,231993.0,PHONE,Unspecified,MANHATTAN,40.80343327648868,-73.95236059020847,"{'latitude': '40.803433276488676', 'longitude': '-73.95236059020847', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12423.0,18.0,4.0,36.0,18.0,,,,,,,,,,,,
46616,54025011,2022-04-27T07:52:54.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,10026.0,1864 7 AVENUE,7 AVENUE,WEST  113 STREET,WEST  114 STREET,WEST  113 STREET,WEST  114 STREET,ADDRESS,NEW YORK,7 AVENUE,In Progress,10 MANHATTAN,1018290029.0,MANHATTAN,997020.0,231247.0,ONLINE,Unspecified,MANHATTAN,40.801386326765765,-73.95387546033507,"{'latitude': '40.801386326765765', 'longitude': '-73.95387546033507', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12423.0,18.0,4.0,36.0,18.0,,,,,,,,,,,,
53886,54016651,2022-04-26T08:52:36.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10002.0,151 NORFOLK STREET,NORFOLK STREET,RIVINGTON STREET,STANTON STREET,RIVINGTON STREET,STANTON STREET,ADDRESS,NEW YORK,NORFOLK STREET,In Progress,03 MANHATTAN,1003540022.0,MANHATTAN,988031.0,201729.0,ONLINE,Unspecified,MANHATTAN,40.72037541937055,-73.98635983608895,"{'latitude': '40.72037541937055', 'longitude': '-73.98635983608895', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70.0,4.0,32.0,4.0,,,,,,,,,,,,
99883,53959786,2022-04-20T12:05:05.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10013.0,45 LISPENARD STREET,LISPENARD STREET,CHURCH STREET,BROADWAY,CHURCH STREET,BROADWAY,ADDRESS,NEW YORK,LISPENARD STREET,In Progress,01 MANHATTAN,1002100026.0,MANHATTAN,983354.0,201489.0,PHONE,Unspecified,MANHATTAN,40.719717439809614,-74.0032323369903,"{'latitude': '40.719717439809614', 'longitude': '-74.0032323369903', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,56.0,4.0,32.0,1.0,,,,,,,,,,,,
117416,53943022,2022-04-18T09:52:48.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10032.0,25 FORT WASHINGTON AVENUE,FORT WASHINGTON AVENUE,BROADWAY,WEST  160 STREET,BROADWAY,WEST  160 STREET,ADDRESS,NEW YORK,FT WASHINGTON AVENUE,In Progress,12 MANHATTAN,1021360075.0,MANHATTAN,999555.0,243856.0,PHONE,Unspecified,MANHATTAN,40.83599044961439,-73.94469042537882,"{'latitude': '40.835990449614386', 'longitude': '-73.94469042537882', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47.0,4.0,23.0,21.0,,,,,,,,,,,,
181669,53876832,2022-04-09T17:19:24.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,Other (Explain Below),10002.0,169 EAST BROADWAY,EAST BROADWAY,RUTGERS STREET,CANAL STREET,RUTGERS STREET,CANAL STREET,ADDRESS,NEW YORK,EAST BROADWAY,In Progress,03 MANHATTAN,1002840026.0,MANHATTAN,987068.0,199435.0,ONLINE,Unspecified,MANHATTAN,40.714079298829446,-73.98983487147261,"{'latitude': '40.714079298829446', 'longitude': '-73.98983487147261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11723.0,70.0,4.0,32.0,4.0,,,,,,,,,,,,
191487,53863644,2022-04-08T13:42:52.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Coming into Apartment,3+ Family Apartment Building,10039.0,2541 ADAM CLAYTON POWELL BOULEVARD,ADAM CLAYTON POWELL BOULEVARD,WEST  147 STREET,WEST  148 STREET,WEST  147 STREET,WEST  148 STREET,ADDRESS,NEW YORK,7 AVENUE,In Progress,10 MANHATTAN,1020160050.0,MANHATTAN,1001396.0,239133.0,PHONE,Unspecified,MANHATTAN,40.82302378752941,-73.93804944859909,"{'latitude': '40.82302378752941', 'longitude': '-73.93804944859909', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13097.0,18.0,4.0,36.0,20.0,,,,,,,,,,,,
201718,53853934,2022-04-07T09:53:29.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10027.0,431 WEST  121 STREET,WEST  121 STREET,MORNINGSIDE DRIVE,AMSTERDAM AVENUE,MORNINGSIDE DRIVE,AMSTERDAM AVENUE,ADDRESS,NEW YORK,WEST  121 STREET,In Progress,09 MANHATTAN,1019630034.0,MANHATTAN,995665.0,234398.0,PHONE,Unspecified,MANHATTAN,40.81003680693076,-73.9587642876289,"{'latitude': '40.81003680693076', 'longitude': '-73.9587642876289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12424.0,37.0,4.0,23.0,17.0,,,,,,,,,,,,
210309,53844205,2022-04-06T08:34:36.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10013.0,18 NORTH MOORE STREET,NORTH MOORE STREET,VARICK STREET,HUDSON STREET,VARICK STREET,HUDSON STREET,ADDRESS,NEW YORK,NORTH MOORE STREET,In Progress,01 MANHATTAN,1001890033.0,MANHATTAN,982267.0,201520.0,ONLINE,Unspecified,MANHATTAN,40.71980235047087,-74.00715371922269,"{'latitude': '40.71980235047087', 'longitude': '-74.00715371922269', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12076.0,56.0,4.0,32.0,1.0,,,,,,,,,,,,
266364,53781576,2022-03-29T21:31:23.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10032.0,652 WEST  163 STREET,WEST  163 STREET,FT WASHINGTON AVENUE,RIVERSIDE DRIVE,FT WASHINGTON AVENUE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  163 STREET,In Progress,12 MANHATTAN,1021360225.0,MANHATTAN,999636.0,244857.0,ONLINE,Unspecified,MANHATTAN,40.83873776311323,-73.9443954094611,"{'latitude': '40.83873776311323', 'longitude': '-73.9443954094611', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13090.0,47.0,4.0,23.0,21.0,,,,,,,,,,,,
282011,53768994,2022-03-28T09:32:33.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,In Common Areas,3+ Family Apartment Building,10031.0,619 WEST  136 STREET,WEST  136 STREET,RICARDO A PEREZ PLACE,RIVERSIDE DRIVE,RICARDO A PEREZ PLACE,RIVERSIDE DRIVE,ADDRESS,NEW YORK,WEST  136 STREET,In Progress,09 MANHATTAN,1020020077.0,MANHATTAN,996624.0,238421.0,ONLINE,Unspecified,MANHATTAN,40.82107752318345,-73.9552925654817,"{'latitude': '40.82107752318345', 'longitude': '-73.9552925654817', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",12428.0,37.0,4.0,23.0,19.0,,,,,,,,,,,,
293273,53754778,2022-03-26T16:57:30.000,DOHMH,Department of Health and Mental Hygiene,Construction Lead Dust,Common Areas and Apartment,3+ Family Apartment Building,10035.0,115 EAST  119 STREET,EAST  119 STREET,METRO NORTH-CONNECTING RAIL LINE,LEXINGTON AVENUE,METRO NORTH-CONNECTING RAIL LINE,LEXINGTON AVENUE,ADDRESS,NEW YORK,EAST  119 STREET,In Progress,11 MANHATTAN,1017680007.0,MANHATTAN,1000564.0,231084.0,PHONE,Unspecified,MANHATTAN,40.8009331037839,-73.94107512617609,"{'latitude': '40.8009331037839', 'longitude': '-73.94107512617609', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",13093.0,7.0,4.0,36.0,16.0,,,,,,,,,,,,
